YEAR,MO,DY,PS,WS10M,WS10M_MAX,WS10M_MIN,WS10M_RANGE,WD10M,WS50M,WS50M_MAX,WS50M_MIN,WS50M_RANGE,WD50M,RH2M,T2M
2021,1,1,100.96,3.7,4.48,3,1.48,153.12,5.88,7.59,3.23,4.37,138.38,43.94,13.32
2021,1,2,100.95,4.05,5.83,3.25,2.58,279.31,6.47,7.45,3.88,3.58,264.5,45.31,13.48
2021,1,3,100.88,3.8,4.98,2.94,2.05,108.5,5.96,7.2,3.62,3.58,93.62,48.38,13.44
2021,1,4,100.82,3.38,4.09,2.43,1.66,177.69,5.24,6.91,3.4,3.5,178.06,56.12,14.05
2021,1,5,100.98,4.02,5.88,3.17,2.71,194.06,6.29,7.11,4.78,2.34,194.06,65.19,15.15
2021,1,6,101.06,3.13,4.37,2.43,1.94,21.19,4.49,4.98,2.62,2.37,21.12,54.19,15.98
2021,1,7,100.86,4.2,6.19,3.14,3.05,24.38,6.56,7.92,3.74,4.18,24.44,50.44,15.23
2021,1,8,100.8,4.84,6.49,3.76,2.74,13.38,7.82,9.14,6.38,2.76,13.62,43.88,14.48
2021,1,9,100.9,5.09,7.44,3.99,3.45,18.56,8.36,10.05,4.94,5.12,18.94,38.12,14.44
2021,1,10,100.95,4.37,5.88,3.37,2.51,18.56,7.07,9.17,5.12,4.05,18.94,48.94,14.69
2021,1,11,101.05,4.16,5.54,3.31,2.23,24.81,6.7,8.06,4.15,3.91,25.12,43.12,15.34
2021,1,12,101.08,3.94,5.94,2.65,3.29,33.94,5.95,7.9,4,3.9,33.94,35.88,15.98
2021,1,13,100.97,2.79,3.68,1.76,1.92,44.56,3.84,5.23,2.44,2.79,44.25,30.12,17.07
2021,1,14,100.81,1.71,2.33,0.78,1.55,77.81,2.23,3.22,1.05,2.16,77.75,28.25,18.83
2021,1,15,100.68,2.76,3.62,1.65,1.98,174.31,3.89,5.71,2.3,3.41,174.44,41.25,18.31
2021,1,16,100.58,2.94,3.77,1.58,2.2,107.75,4.27,6.01,2.2,3.8,108.19,37,18.11
2021,1,17,100.57,2.33,3.55,0.97,2.59,99.81,3.45,6.27,1.34,4.92,100.31,37.94,18.61
2021,1,18,100.81,3.55,4.2,2.73,1.47,151.31,5.67,8.56,2.99,5.57,151.5,34.38,17.63
2021,1,19,100.92,3.53,4.4,2.51,1.89,18.88,5.58,8.13,3.42,4.71,19.06,49.12,16.3
2021,1,20,100.97,2.99,3.79,2.23,1.55,23.38,4.34,5.91,3.01,2.91,23.31,40.69,17.69
2021,1,21,100.91,2.3,3.87,0.9,2.97,115.44,3.52,7.98,1.22,6.77,115.62,39.06,18.98
2021,1,22,100.73,4.2,5.99,3.25,2.74,258.44,6.62,8.32,4.38,3.94,258.56,74.31,20.01
2021,1,23,100.79,4,5.33,2.86,2.46,107.75,6.18,7.98,4.85,3.12,107.88,48.5,20
2021,1,24,101.02,3.52,4.28,2.99,1.29,25.62,5.31,7.42,3.68,3.75,25.56,18.75,16.03
2021,1,25,101.13,3.68,4.98,2.98,2,48.38,5.34,6.2,3.41,2.8,48.31,22.06,15.69
2021,1,26,101.09,3.35,4.74,2.24,2.5,41,4.7,5.63,2.37,3.27,40.88,22.19,16.25
2021,1,27,101.07,3.27,3.91,2.56,1.35,44.38,4.67,5.52,2.73,2.79,44.19,23.25,16.31
2021,1,28,101.15,3.45,4.88,2.23,2.66,34.81,4.84,6.18,2.36,3.82,34.69,22.25,16.77
2021,1,29,101.22,3.59,4.79,2.91,1.88,48.38,5.09,5.88,3.11,2.77,48.25,20.56,16.95
2021,1,30,101.12,2.45,3,1.41,1.59,66.06,3.33,4.45,1.84,2.62,66.19,16.12,18.57
2021,1,31,101.04,2.19,3.41,0.58,2.84,238.75,3.53,6.72,0.62,6.1,239.88,43.75,18.98
2021,2,1,101.15,2.05,3.08,0.9,2.18,230.5,2.98,5.74,1.15,4.59,230.94,52.31,21.12
2021,2,2,101.11,3,4.12,1.2,2.92,291.31,4.84,8.01,1.31,6.7,290.56,53.94,21.37
2021,2,3,100.97,3.68,5.55,2.47,3.09,280.62,5.86,8.53,2.66,5.88,280.25,64.12,21.06
2021,2,4,101.01,3.18,4.32,2.16,2.16,283.62,5.27,8.86,2.32,6.54,284.44,50.75,21.11
2021,2,5,101.16,4.11,5.71,2.97,2.73,37.25,6.29,8.82,4.33,4.48,37.19,25.38,19.44
2021,2,6,101.16,3.99,6.09,3.16,2.92,52.38,5.77,7.05,3.93,3.12,52.38,25.62,19.15
2021,2,7,101.12,3.06,4.69,1.98,2.7,58.62,4.37,6.12,2.61,3.52,59,20.5,20.45
2021,2,8,101.11,1.83,3.21,0.52,2.7,147.25,2.52,5.97,0.67,5.3,147.75,20.38,22.26
2021,2,9,100.94,3.28,4.31,1.92,2.39,288.12,5.21,8.05,2.11,5.94,287.88,50.12,21.48
2021,2,10,100.76,2.09,3.14,0.32,2.82,218.94,3.49,6.48,0.42,6.06,218.62,52.88,23.16
2021,2,11,100.67,2.14,3.52,0.56,2.96,258.12,3.57,6.98,0.79,6.19,259.44,44.06,23.02
2021,2,12,100.68,2.55,4.23,0.22,4.02,292.94,4.27,7.46,0.25,7.21,293.69,48.06,23.3
2021,2,13,100.78,3.74,5.41,2.75,2.66,270.12,5.84,8.53,2.85,5.67,270.25,59.81,22.45
2021,2,14,100.8,3.83,6.03,2.97,3.06,269.5,5.62,8.66,3.23,5.42,269.94,63.81,22.55
2021,2,15,100.7,3.49,5.45,2.51,2.94,266.12,5.27,8.08,2.65,5.42,266.75,65.5,22.05
2021,2,16,100.67,3.27,5.84,1.48,4.35,277.25,5.01,8.06,1.47,6.59,278.88,63.19,23.4
2021,2,17,100.75,2.74,4.04,0.98,3.05,220.06,4.45,6.95,1.44,5.5,220.69,53.88,23.85
2021,2,18,100.88,3.28,4.42,2.23,2.19,110.69,5.04,7.67,2.97,4.71,111.5,43.5,23.37
2021,2,19,101.04,3.98,5.41,3.1,2.32,61.06,6.12,7.75,4.27,3.48,61.5,19.25,23.76
2021,2,20,101.08,3.28,4.51,2.19,2.32,69.94,4.76,6.79,3.52,3.28,70.06,19.56,24.51
2021,2,21,101.04,2.21,3.88,0.84,3.05,124.19,2.84,4.58,1.13,3.44,124.44,20.5,26.06
2021,2,22,100.98,2.53,4.82,0.07,4.75,242.81,4.29,8.68,0.08,8.6,242.69,33,24.87
2021,2,23,100.82,4.16,6.49,2.95,3.54,277.38,6.3,8.78,3.68,5.1,276.81,44.56,24.76
2021,2,24,100.63,4.59,6.37,3.2,3.17,252.06,6.66,8.21,5.32,2.88,252.31,59.75,23.98
2021,2,25,100.63,4.11,6.07,2.71,3.36,257.94,5.84,8.66,3.63,5.03,258.94,63.56,25.12
2021,2,26,100.5,5.49,7.66,3.24,4.41,255.12,7.47,8.55,5.98,2.57,256,65.19,25.99
2021,2,27,100.45,5.28,7.22,2.9,4.32,265.38,7.12,8.56,4.95,3.62,266,64.94,26.59
2021,2,28,100.49,4.15,6.01,2.89,3.12,274.25,6.13,8.7,3.17,5.53,274.31,60.25,26.48
2021,3,1,100.84,2.79,3.9,1.3,2.59,296.5,4.23,6.39,1.95,4.44,296.69,44.62,25.24
2021,3,2,100.96,2.88,4.23,1.73,2.49,282.06,4.31,6.69,2.51,4.18,282.38,29.31,25.21
2021,3,3,100.79,3.75,5.74,2.53,3.21,275.75,5.88,9.21,2.66,6.54,276.06,44.5,25.02
2021,3,4,100.66,4.05,5.7,2.7,3.01,266.88,6.09,8.67,4.27,4.4,267.62,54.69,27.53
2021,3,5,100.71,2.99,5.71,1.31,4.39,270.19,4.63,8.59,1.27,7.32,271.75,49.44,28.62
2021,3,6,100.66,4.38,6.6,3.13,3.47,254.38,6.27,8.98,3.27,5.7,254.75,50.38,28.17
2021,3,7,100.47,6.23,8.8,4.16,4.65,239.38,8.29,10.02,7.61,2.41,240.25,64.38,27.08
2021,3,8,100.58,5.32,7.73,3.63,4.1,250.19,7.44,8.55,6.08,2.48,250.69,61.56,27.03
2021,3,9,100.7,4.23,6.34,2.68,3.66,255.94,5.96,8.19,3.33,4.86,256,59.25,26.62
2021,3,10,100.71,4.16,5.88,2.89,2.99,261.94,5.9,8.04,3.51,4.53,262.06,58.94,26.51
2021,3,11,100.64,4.38,7.35,2.51,4.84,258.19,6.06,8.51,3.94,4.57,258.38,59.25,25.33
2021,3,12,100.8,3.17,5.03,1.35,3.67,270.81,4.82,7.59,1.71,5.88,270.94,54.62,26.55
2021,3,13,100.89,2.59,3.98,1.64,2.34,125.5,3.8,5.77,2.59,3.16,126.12,42.19,27.86
2021,3,14,100.7,2.58,5.83,0.39,5.45,200.38,3.73,8.27,0.4,7.87,202.25,27.44,28.39
2021,3,15,100.6,3.76,4.89,2.07,2.82,285.62,5.62,7.85,2.15,5.7,286.5,39.38,28.3
