YEAR,MO,DY,PS,WS10M,WS10M_MAX,WS10M_MIN,WS10M_RANGE,WD10M,WS50M,WS50M_MAX,WS50M_MIN,WS50M_RANGE,WD50M,RH2M,T2M
2021,1,1,97,2.68,3.73,1.34,2.39,74.94,4.06,5,2.3,2.7,75.56,75.12,23.19
2021,1,2,97,2.45,4.1,0.97,3.14,69.06,3.74,5.38,1.66,3.72,73.5,74,23.08
2021,1,3,96.88,1.86,3.16,0.27,2.88,161.5,2.72,4.23,0.45,3.79,159.44,76.44,25.21
2021,1,4,96.88,0.97,1.8,0.35,1.45,154.94,1.48,2.66,0.3,2.36,145.69,77.56,25.33
2021,1,5,96.95,1.67,3.12,0.52,2.6,89.25,2.55,4.08,0.65,3.43,93.94,82.69,23.84
2021,1,6,96.92,1.89,2.44,1.27,1.16,185.5,2.71,3.32,2.05,1.27,182.94,83,24.8
2021,1,7,96.77,1.45,2.28,0.22,2.06,244.12,2.1,3.49,0.19,3.3,241,87.44,24.6
2021,1,8,96.73,1.58,2.12,1.23,0.89,164.25,2.37,3.07,1.72,1.35,150.56,88.44,23.93
2021,1,9,96.74,1.41,1.91,0.23,1.67,161.12,2.11,2.93,0.6,2.33,148.38,83.25,24.81
2021,1,10,96.85,1.02,2.3,0.27,2.02,162.12,1.65,3.23,0.32,2.91,146.06,80.69,25.27
2021,1,11,96.93,1.28,2.74,0.16,2.58,109.69,2.2,3.77,0.73,3.04,86.5,74.69,25.47
2021,1,12,96.95,2.32,4.09,1.2,2.89,72.38,3.85,6.01,2.27,3.73,73.31,71.31,24.85
2021,1,13,96.92,2.9,4.9,1.38,3.52,69.56,4.48,6.83,2.62,4.2,69.94,72.31,24.04
2021,1,14,96.87,2.18,3.88,0.72,3.16,81.56,3.5,5.46,1.45,4.01,80.5,73.25,24.6
2021,1,15,96.87,1.41,3.23,0.25,2.98,147.56,2.15,4.35,0.29,4.07,129.56,72,25.59
2021,1,16,96.8,0.91,1.84,0.26,1.58,149.31,1.38,2.56,0.37,2.2,148,75,25.55
2021,1,17,96.85,0.67,1.44,0.12,1.32,157.38,1.2,2.27,0.25,2.02,149.62,76.31,25.6
2021,1,18,96.95,1.3,3.12,0.45,2.67,75,2.26,3.97,0.74,3.23,80.25,71.44,25.41
2021,1,19,96.99,1.5,3.23,0.45,2.78,108.5,2.41,4.12,1.12,3,85.56,71.81,24.67
2021,1,20,97.06,1.37,2.41,0.48,1.93,85.56,2.12,3.43,0.9,2.54,91.25,67.38,24.41
2021,1,21,97.02,1.99,3.17,0.21,2.97,180.06,2.95,4.76,0.32,4.44,171.62,66.19,23.93
2021,1,22,96.97,1.87,2.56,0.34,2.23,133.31,2.71,4.12,0.36,3.77,128,70.5,24.02
2021,1,23,96.96,1.59,2.89,0.23,2.66,148.06,2.34,3.95,0.55,3.4,155.81,74.06,24.56
2021,1,24,97.04,1.59,2.48,1.02,1.46,57.94,2.48,3.94,1.57,2.37,49.69,68.5,24.56
2021,1,25,97.09,1.7,3.23,0.15,3.08,117.12,2.64,4.42,0.2,4.23,104.44,63.94,23.96
2021,1,26,97.03,1.58,3.02,0.31,2.71,108.06,2.45,4.19,0.35,3.84,112.81,62.06,23.46
2021,1,27,97.07,1.38,2.39,0.32,2.07,153.69,2.09,3.7,0.22,3.48,142.62,62.81,23.55
2021,1,28,97.08,1.73,2.59,0.86,1.73,86.31,2.78,3.82,1.31,2.51,62.56,66.12,23.37
2021,1,29,97.14,2.14,3.55,0.28,3.28,154.81,3.24,4.96,0.72,4.24,115.94,70.81,23.36
2021,1,30,97.06,1.92,3.14,0.04,3.11,143.06,2.91,4.49,0.41,4.08,130.62,71.19,23.98
2021,1,31,97.07,1.85,2.83,0.53,2.3,90.75,3,4.77,1.08,3.68,81.88,69.62,24.37
2021,2,1,97.19,3.13,4.4,1.62,2.77,67.56,4.81,5.91,3.2,2.71,69.75,63.38,23.41
2021,2,2,97.21,3.02,4.49,1.56,2.93,66.44,4.69,6.18,2.96,3.22,68.12,65.81,23.21
2021,2,3,97.15,1.99,3.8,0.07,3.73,142.62,3.02,5.45,0.2,5.23,120.31,69.94,24.07
2021,2,4,97.15,1.34,2.81,0.48,2.32,166.25,2.02,3.7,0.24,3.45,170.81,71.69,24.87
2021,2,5,97.11,1.52,2.86,0.46,2.4,174.88,2.36,4.37,0.94,3.42,184.69,73.94,24.15
2021,2,6,96.98,1.59,2.76,0.34,2.41,119.62,2.57,4,0.87,3.13,99.56,68.38,24.08
2021,2,7,97.05,2.85,3.58,1.91,1.66,73.31,4.62,6.04,3.91,2.13,75.19,58.75,23.51
2021,2,8,97.09,3.22,5.16,1.62,3.55,69.75,5.02,7.01,3.52,3.49,70.75,59.81,22.79
2021,2,9,97.05,2.6,3.99,1.27,2.73,66.69,4.12,5.69,2.34,3.35,69,59.38,23.1
2021,2,10,96.98,1.93,3.24,0.79,2.45,65,3.07,5.04,1.16,3.88,69.38,57.31,23.2
2021,2,11,96.92,1.62,3.15,0.23,2.91,121.19,2.54,4.65,0.38,4.27,118.75,56.06,23.33
2021,2,12,97,1.34,2.26,0.3,1.96,175.81,1.97,3.6,0.12,3.48,169.69,58.25,24.45
2021,2,13,97.11,1.77,2.92,0.91,2.02,182.75,2.42,3.59,1.21,2.38,182.62,66,24.33
2021,2,14,97.14,1.52,2.75,0.78,1.97,191.38,2.07,3.45,1.06,2.38,191,65.31,24.51
2021,2,15,97.04,1.56,3.33,0.12,3.21,190.56,2.12,4.42,0.37,4.05,190.75,69.06,24.61
2021,2,16,97.01,1.96,2.84,0.11,2.73,186.62,2.75,4.3,0.48,3.82,185.12,71.94,24.65
2021,2,17,96.95,2.26,3.16,0.93,2.23,234.31,2.84,4.54,0.83,3.71,235.75,74.19,25.26
2021,2,18,97.04,1.9,2.45,0.7,1.74,195.12,2.58,3.58,0.84,2.73,180.62,73.56,25.22
2021,2,19,97.12,2.62,4.45,0.92,3.53,64.12,3.91,5.75,1.41,4.33,70.25,74.25,22.6
2021,2,20,97.01,3.05,5.58,0.3,5.28,120.38,4.54,7.46,0.52,6.95,111.25,66.38,24.08
2021,2,21,97.12,2.81,4.7,1.12,3.59,82.56,4.12,6.36,1.92,4.44,81.56,67.5,24.62
2021,2,22,97.17,1.66,2.7,0.1,2.59,127.56,2.69,4.57,0.2,4.37,103.31,61.5,25.74
2021,2,23,97.04,1.73,3.21,0.05,3.16,142.06,2.55,4.34,0.23,4.1,118.38,65.81,26.05
2021,2,24,96.97,1.81,2.78,0.88,1.91,172.38,2.53,3.55,0.88,2.68,172.25,63.62,26.24
2021,2,25,97.02,1.84,3.29,0.89,2.39,202.5,2.48,4.3,1.28,3.02,193.88,68.06,26.39
2021,2,26,96.93,2.49,3.62,1.32,2.3,222.06,3.42,4.85,1.73,3.12,224.94,71.31,26.23
2021,2,27,96.8,2.02,3.13,0.49,2.64,196,2.7,4.32,0.54,3.78,202,67.06,26.58
2021,2,28,96.8,1.96,3.13,0.09,3.05,166.12,2.72,4.15,0.23,3.91,167.06,64.5,26.82
2021,3,1,97.09,1.38,2.92,0.61,2.3,190.5,1.92,3.34,0.38,2.97,182.62,63.44,26.98
2021,3,2,97.1,1.19,2.3,0.23,2.07,187.75,1.77,2.82,0.59,2.23,137.56,63.75,26.67
2021,3,3,96.93,1.52,2.45,0.78,1.66,111.12,2.62,3.88,1.29,2.59,92.19,57.44,26.74
2021,3,4,96.96,1.8,3.47,0.48,2.98,145.31,2.89,4.82,0.33,4.49,142.88,53.81,26.55
2021,3,5,97.12,1.48,3.38,0.44,2.94,203.06,2.06,4.1,0.78,3.32,177.5,57.94,26.58
2021,3,6,97.15,1.82,3.48,0.45,3.04,269.88,2.33,5.11,0.62,4.48,261.31,67.88,26.73
2021,3,7,97,1.45,2.52,0.33,2.2,182.81,1.98,3.02,1,2.02,148.12,59.75,27.21
2021,3,8,97.01,1.95,3.58,0.52,3.05,177.31,2.83,4.56,0.48,4.08,172.75,58.69,26.94
2021,3,9,97.06,1.59,2.81,0.16,2.65,153.62,2.42,4.18,0.2,3.98,141.44,54.44,27.23
2021,3,10,97.08,1.62,3.2,0.17,3.02,168.5,2.31,4.02,0.72,3.3,168.56,62.44,26.74
2021,3,11,97.1,1.61,2.7,0.52,2.18,170.75,2.31,3.59,0.63,2.96,169.88,68.88,26
2021,3,12,97.15,1.12,2.28,0.27,2.02,197.75,1.47,2.71,0.65,2.05,190.25,66.56,27.12
2021,3,13,97.09,1.38,2.73,0.17,2.55,180.62,1.9,3.18,0.52,2.66,141,57.25,27.16
